Friday_of_Week,NFCI,ANFCI,Risk,Credit,Leverage,Nonfinancial_Leverage
11/09/2001,-0.400914535513713,-0.462264335137009,-0.442922178869022,0.305579353963531,-1.63438553263649,0.49684444249567
11/16/2001,-0.399218218594918,-0.465590265383819,-0.440898739005969,0.300525775508949,-1.60853654197133,0.492501134602538
11/23/2001,-0.389157102473081,-0.45296541213672,-0.431264868813137,0.295669630737888,-1.57824881313942,0.489533351047703
11/30/2001,-0.375372629187612,-0.427343280064062,-0.419253432666538,0.291201818431296,-1.54376943383531,0.4878936893014
12/07/2001,-0.362776535697563,-0.39752294857902,-0.409064144312127,0.286211247274247,-1.50597338477926,0.48748900979958
12/14/2001,-0.356531706201535,-0.376981734838747,-0.404350133888529,0.278501045347876,-1.46517876949419,0.488181318376002
12/21/2001,-0.358844449107452,-0.377043631198785,-0.406765261222817,0.267097834001372,-1.42234327016878,0.48979043469102
12/28/2001,-0.372206704249436,-0.403382975719935,-0.418620692620207,0.251507991785976,-1.37828924673128,0.492106445805534
01/04/2002,-0.392433140987967,-0.448023640462726,-0.43634173059467,0.232077169180392,-1.33358961747163,0.494907547440865
01/11/2002,-0.417953542418486,-0.499721856040844,-0.459262159294947,0.210419312864521,-1.29001720703046,0.497933340608334
01/18/2002,-0.443371439825346,-0.543388857746643,-0.483362462935582,0.188601378023918,-1.24884244407617,0.500956575917905
01/25/2002,-0.464571261939879,-0.567478035293506,-0.505215427212747,0.168149054038518,-1.21110262666648,0.503760816845373
02/01/2002,-0.479725406601294,-0.57191832103043,-0.52318377687124,0.150648636496628,-1.17864897670128,0.506153448144127
02/08/2002,-0.488773389300934,-0.562604116564643,-0.53606325920792,0.136956087504246,-1.15422329873198,0.50797620472422
02/15/2002,-0.493136282795315,-0.548458132972019,-0.54406933292583,0.126831783561639,-1.13907344608549,0.509106903866668
02/22/2002,-0.493379709815103,-0.534511860315353,-0.546598417586968,0.119408316188225,-1.13407204280164,0.50945835740881
03/01/2002,-0.492784678943461,-0.524446498198937,-0.545661909284505,0.113337614878524,-1.13961009028598,0.508979930660163
03/08/2002,-0.491816122825663,-0.513685905717873,-0.541533413989295,0.107054439580758,-1.15436425482357,0.507654640857871
03/15/2002,-0.492410660063567,-0.501966404331258,-0.536705163279969,0.09911309765786,-1.17599887459407,0.505496969317921
03/22/2002,-0.496565284577214,-0.489804004503012,-0.534044896949655,0.0886261026365141,-1.20199464173021,0.502551854882029
03/29/2002,-0.504820407093742,-0.481423496799903,-0.534859632808643,0.0749259757597239,-1.22962185485349,0.49888715872699
04/05/2002,-0.518143546496341,-0.484490432342822,-0.540634309386121,0.0579782020802362,-1.25663826007989,0.494584519722585
04/12/2002,-0.536717702650555,-0.503895297633078,-0.552140993847711,0.0382514549737557,-1.28088363105181,0.489750041079656
04/19/2002,-0.558499459365258,-0.538089648880153,-0.567946423789762,0.0170587808437737,-1.30088738556662,0.484489998117116
04/26/2002,-0.581249001303701,-0.579620642254667,-0.585818461744641,-0.00394337112955436,-1.3163586115558,0.478912898598582
05/03/2002,-0.603475071588848,-0.621352362448362,-0.60425172126408,-0.0228954519023012,-1.32741982269814,0.473127825295397
05/10/2002,-0.619857070704166,-0.648967832311416,-0.618970122161874,-0.0372718197974457,-1.33443789528635,0.467239443583857
05/17/2002,-0.630406722902943,-0.661356499702741,-0.629369699139269,-0.0456213503746482,-1.33883107715272,0.46134545266492
05/24/2002,-0.632357806052837,-0.657189181273769,-0.632578549095273,-0.0467682056956611,-1.34191460548993,0.455536286796065
05/31/2002,-0.626281650367963,-0.643047659334431,-0.628300991180553,-0.0406571092206743,-1.34505302634112,0.449893674415408
06/07/2002,-0.612204754055324,-0.62332063996675,-0.616915493738488,-0.0272562507321841,-1.34889745904807,0.444490099143105
06/14/2002,-0.591955768343412,-0.602583942252543,-0.599984709953729,-0.00764889259051829,-1.35366144673503,0.439389071085286
06/21/2002,-0.567319323666638,-0.580614456823281,-0.578494986400672,0.0162865439265034,-1.3593105843402,0.434643913785305
06/28/2002,-0.540037149515952,-0.555871188888591,-0.554427933322782,0.0428104505560495,-1.36472553760266,0.430297445469117
07/05/2002,-0.51226419490981,-0.527216536976716,-0.529238846059664,0.0696158451566705,-1.36884785074807,0.426384740817587
07/12/2002,-0.485117672070487,-0.495448515863982,-0.503432442669007,0.0948644884811263,-1.37075932782223,0.422931014501226
07/19/2002,-0.461396843064361,-0.466460824208058,-0.479742370540103,0.11721229214645,-1.36912720049287,0.419948498774345
07/26/2002,-0.440964337583452,-0.443343527826297,-0.458652787356568,0.136120324797109,-1.3625621064276,0.417441078237693
08/02/2002,-0.426699317681335,-0.43170828158726,-0.442803082192674,0.151062392131624,-1.35034275915406,0.415401711059025
08/09/2002,-0.415427382200489,-0.427324845527174,-0.430426587365354,0.162792629545282,-1.33166759824607,0.413810623656529
08/16/2002,-0.407970987642318,-0.429387007039862,-0.422631748360886,0.171336392780885,-1.3059018441702,0.4126360705353
08/23/2002,-0.399943792354233,-0.428893527674203,-0.415337738154167,0.177430509020376,-1.27404785768586,0.411833843383481
08/30/2002,-0.391546101230843,-0.423300280976192,-0.408760755475411,0.181898380507412,-1.23793680940529,0.411346498344118
09/06/2002,-0.380959552875208,-0.410512846452965,-0.401533755275433,0.185491701616527,-1.1991110385611,0.411104302844799
09/13/2002,-0.370335400529753,-0.394275778856745,-0.39502866841851,0.188434971179023,-1.16014334926178,0.41102472670536
09/20/2002,-0.360814870715978,-0.378864753335266,-0.390234240132689,0.19101024825438,-1.12287311666365,0.411013102341214
09/27/2002,-0.354999406937391,-0.36960260625304,-0.388568399301159,0.192826798585961,-1.08909104930168,0.410967034948866
10/04/2002,-0.35435167410514,-0.367723046568581,-0.391797563070508,0.193390605946488,-1.05796972751988,0.410782107100278
10/11/2002,-0.360197728472403,-0.374417453644558,-0.400323715028008,0.192211011268613,-1.02967411405373,0.410340796519028
10/18/2002,-0.372829092746852,-0.388987774261955,-0.414935325512959,0.189063199033628,-1.00240693131037,0.409545271746971
10/25/2002,-0.388434705728717,-0.405489351507718,-0.432989892627225,0.184222777570861,-0.973929892579129,0.408304289500571
